Event name,Event location,Event start date,Event start time,Event timezone,Tickets sold,Paid tickets sold,Complimentary tickets sold,Add-ons sold,Currency,Gross sales,Eventbrite service fee,Eventbrite payment processing fee,Eventbrite tax,Organizer tax,Royalty,Ticket revenue,Add-ons revenue,Ticket + add-ons revenue,Net sales
Free Adult Indoor Beach Volleyball Classes!,QBK Sports,2024-07-09,18:00:00,America/New_York,3,0,3,0,USD,0,0,0,0,0,0,0,0,0,0
Free Adult Indoor Beach Volleyball Classes!,QBK Sports,2024-07-13,12:00:00,America/New_York,22,0,22,0,USD,0,0,0,0,0,0,0,0,0,0
Free Adult Indoor Beach Volleyball Classes!,QBK Sports,2024-07-14,13:00:00,America/New_York,20,0,20,0,USD,0,0,0,0,0,0,0,0,0,0
Free Adult Indoor Beach Volleyball Classes!,QBK Sports,2024-07-16,18:00:00,America/New_York,13,0,13,0,USD,0,0,0,0,0,0,0,0,0,0
Free Adult Indoor Beach Volleyball Classes!,QBK Sports,2024-07-20,12:00:00,America/New_York,13,0,13,0,USD,0,0,0,0,0,0,0,0,0,0
Free Adult Indoor Beach Volleyball Classes!,QBK Sports,2024-07-21,13:00:00,America/New_York,3,0,3,0,USD,0,0,0,0,0,0,0,0,0,0
Free Adult Indoor Beach Volleyball Classes!,QBK Sports,2024-07-23,18:00:00,America/New_York,11,0,11,0,USD,0,0,0,0,0,0,0,0,0,0
Free Adult Indoor Beach Volleyball Classes!,QBK Sports,2024-07-27,12:00:00,America/New_York,24,0,24,0,USD,0,0,0,0,0,0,0,0,0,0
Free Adult Indoor Beach Volleyball Classes!,QBK Sports,2024-07-28,13:00:00,America/New_York,17,0,17,0,USD,0,0,0,0,0,0,0,0,0,0
Free Adult Indoor Beach Volleyball Classes!,QBK Sports,2024-07-30,18:00:00,America/New_York,13,0,13,0,USD,0,0,0,0,0,0,0,0,0,0
Free Adult Indoor Beach Volleyball Classes!,QBK Sports,2024-08-03,12:00:00,America/New_York,24,0,24,0,USD,0,0,0,0,0,0,0,0,0,0
Free Adult Indoor Beach Volleyball Classes!,QBK Sports,2024-08-04,13:00:00,America/New_York,19,0,19,0,USD,0,0,0,0,0,0,0,0,0,0
Free Adult Indoor Beach Volleyball Classes!,QBK Sports,2024-08-06,18:00:00,America/New_York,9,0,9,0,USD,0,0,0,0,0,0,0,0,0,0
Free Adult Indoor Beach Volleyball Classes!,QBK Sports,2024-08-10,12:00:00,America/New_York,21,0,21,0,USD,0,0,0,0,0,0,0,0,0,0
Free Adult Indoor Beach Volleyball Classes!,QBK Sports,2024-08-11,13:00:00,America/New_York,12,0,12,0,USD,0,0,0,0,0,0,0,0,0,0
Free Adult Indoor Beach Volleyball Classes!,QBK Sports,2024-08-13,18:00:00,America/New_York,10,0,10,0,USD,0,0,0,0,0,0,0,0,0,0
Free Adult Indoor Beach Volleyball Classes!,QBK Sports,2024-08-20,18:00:00,America/New_York,18,0,18,0,USD,0,0,0,0,0,0,0,0,0,0
Free Adult Indoor Beach Volleyball Classes!,QBK Sports,2024-08-24,12:00:00,America/New_York,16,0,16,0,USD,0,0,0,0,0,0,0,0,0,0
Free Adult Indoor Beach Volleyball Classes!,QBK Sports,2024-08-25,13:00:00,America/New_York,14,0,14,0,USD,0,0,0,0,0,0,0,0,0,0
Free Adult Indoor Beach Volleyball Classes!,QBK Sports,2024-08-27,18:00:00,America/New_York,9,0,9,0,USD,0,0,0,0,0,0,0,0,0,0
Free Adult Indoor Beach Volleyball Classes!,QBK Sports,2024-08-31,12:00:00,America/New_York,17,0,17,0,USD,0,0,0,0,0,0,0,0,0,0
Free Adult Indoor Beach Volleyball Classes!,QBK Sports,2024-09-01,13:00:00,America/New_York,10,0,10,0,USD,0,0,0,0,0,0,0,0,0,0
Free Adult Indoor Beach Volleyball Classes!,QBK Sports,2024-09-03,18:00:00,America/New_York,10,0,10,0,USD,0,0,0,0,0,0,0,0,0,0
